game_id,season,week,team,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,defense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie,record,win_pct,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,average_defensive_two_point_attempt,average_defensive_two_point_conv,average_defensive_extra_point_attempt,average_defensive_extra_point_conv
2012_01_SEA_ARI,2012,1,ARI,REG,0,1,2,1,1,1,0,55,6,4,3,8,0,0,0,0,0,16,0,1,4,5,13,37,4,0,0,33,70,14,0.47,0.53,1,0,0,0,0,0,1,0,0,'1-0-0,1,0,1,2,1,1,1,0,55,6,4,3,8,0,0,0,0,0
2012_02_ARI_NE,2012,2,ARI,REG,0,1,0,0,0,0,0,47,8,0,4,6,0,0,0,0,0,18,0,0,5,5,4,50,6,0,1,28,79,16,0.35,0.63,0,0,0,1,0,0,2,0,0,'2-0-0,1,0,1,1,0.5,0.5,0.5,0,51,7,2,3.5,7,0,0,0,0,0
2012_03_PHI_ARI,2012,3,ARI,REG,0,0,2,2,2,0,0,46,4,1,5,14,1,0,0,0,0,7,6,0,2,5,2,42,5,0,0,21,63,12,0.33,0.67,1,0,0,0,0,0,3,0,0,'3-0-0,1,0,0.666666667,1.333333333,1,1,0.333333333,0,49.33333333,6,1.666666667,4,9.333333333,0.333333333,0,0,0,0
2012_04_MIA_ARI,2012,4,ARI,REG,0,2,4,2,3,2,0,54,8,5,4,10,0,0,0,0,0,21,0,1,3,4,3,46,5,1,0,28,75,13,0.37,0.61,1,0,0,0,0,0,4,0,0,'4-0-0,1,0,1,2,1.25,1.5,0.75,0,50.5,6.5,2.5,4,9.5,0.25,0,0,0,0
2012_05_ARI_STL,2012,5,ARI,REG,0,1,0,0,0,0,0,35,5,0,1,6,0,0,0,0,0,17,0,2,1,2,5,22,7,4,0,28,54,12,0.52,0.41,0,0,0,0,1,0,4,1,0,'4-1-0,0.8,0,1,1.6,1,1.2,0.6,0,47.4,6.2,2,3.4,8.8,0.2,0,0,0,0
2012_06_BUF_ARI,2012,6,ARI,REG,0,1,1,1,1,0,0,52,7,2,2,2,0,0,0,0,0,17,0,2,1,7,3,34,8,0,1,33,68,18,0.49,0.5,0,1,0,0,0,0,4,2,0,'4-2-0,0.667,0,1,1.5,1,1.166666667,0.5,0,48.16666667,6.333333333,2,3.166666667,7.666666667,0.166666667,0,0,0,0
2012_07_ARI_MIN,2012,7,ARI,REG,0,2,0,0,0,0,0,34,9,0,3,4,0,0,0,0,0,15,0,3,0,3,6,20,7,0,0,27,47,13,0.57,0.43,0,0,0,0,1,0,4,3,0,'4-3-0,0.571,0,1.142857143,1.285714286,0.857142857,1,0.428571429,0,46.14285714,6.714285714,1.714285714,3.142857143,7.142857143,0.142857143,0,0,0,0
2012_08_SF_ARI,2012,8,ARI,REG,0,0,0,0,0,0,0,50,2,0,4,4,0,0,0,0,0,24,0,3,1,2,5,23,5,0,0,29,52,11,0.56,0.44,0,1,0,0,0,0,4,4,0,'4-4-0,0.5,0,1,1.125,0.75,0.875,0.375,0,46.625,6.125,1.5,3.25,6.75,0.125,0,0,0,0
2012_09_ARI_GB,2012,9,ARI,REG,0,1,3,1,1,2,0,41,12,8,1,3,0,0,0,0,0,31,0,4,2,4,4,31,6,4,0,35,70,16,0.5,0.44,0,0,0,0,1,0,4,5,0,'4-5-0,0.444,0,1,1.333333333,0.777777778,0.888888889,0.555555556,0,46,6.777777778,2.222222222,3,6.333333333,0.111111111,0,0,0,0
2012_11_ARI_ATL,2012,11,ARI,REG,0,5,2,1,2,0,1,53,5,0,1,5,0,0,0,0,0,17,0,2,3,6,3,47,4,3,0,21,71,15,0.3,0.66,0,0,0,0,1,0,4,6,0,'4-6-0,0.4,0,1.4,1.4,0.8,1,0.5,0.1,46.7,6.6,2,2.8,6.2,0.1,0,0,0,0
2012_12_STL_ARI,2012,12,ARI,REG,0,1,1,0,1,0,0,40,6,2,2,1,0,0,0,0,0,19,0,4,2,3,7,20,6,1,0,33,54,15,0.61,0.37,0,1,0,0,0,0,4,7,0,'4-7-0,0.364,0,1.363636364,1.363636364,0.727272727,1,0.454545455,0.090909091,46.09090909,6.545454545,2,2.727272727,5.727272727,0.090909091,0,0,0,0
2012_13_ARI_NYJ,2012,13,ARI,REG,0,3,1,1,1,0,0,55,9,0,3,5,0,0,0,0,0,7,0,1,2,2,4,31,6,0,0,43,74,11,0.58,0.42,0,0,0,0,1,0,4,8,0,'4-8-0,0.333,0,1.5,1.333333333,0.75,1,0.416666667,0.083333333,46.83333333,6.75,1.833333333,2.75,5.666666667,0.083333333,0,0,0,0
2012_14_ARI_SEA,2012,14,ARI,REG,0,1,2,2,1,1,0,36,16,3,1,3,1,0,0,0,0,47,6,7,3,1,5,23,3,1,0,41,65,14,0.63,0.35,0,0,0,0,1,0,4,9,0,'4-9-0,0.308,0,1.461538462,1.384615385,0.846153846,1,0.461538462,0.076923077,46,7.461538462,1.923076923,2.615384615,5.461538462,0.153846154,0,0,0,0
2012_15_DET_ARI,2012,15,ARI,REG,0,3,0,0,0,0,0,49,6,4,2,8,2,0,0,0,0,12,12,1,1,7,7,52,8,0,0,22,74,17,0.3,0.7,1,0,0,0,0,0,5,9,0,'5-9-0,0.357,0,1.571428571,1.285714286,0.785714286,0.928571429,0.428571429,0.071428571,46.21428571,7.357142857,2.071428571,2.571428571,5.642857143,0.285714286,0,0,0,0
2012_16_CHI_ARI,2012,16,ARI,REG,0,0,0,0,0,0,0,43,4,0,1,1,0,0,0,0,0,22,0,4,1,4,1,27,9,2,0,31,60,18,0.52,0.45,0,1,0,0,0,0,5,10,0,'5-10-0,0.333,0,1.466666667,1.2,0.733333333,0.866666667,0.4,0.066666667,46,7.133333333,1.933333333,2.466666667,5.333333333,0.266666667,0,0,0,0
