team,season,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,rush_snaps,pass_snaps,win,loss,tie,record,win_pct,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,average_defensive_two_point_attempt,average_defensive_two_point_conv,average_defensive_extra_point_attempt,average_defensive_extra_point_conv,rush_pct,pass_pct
ARI,2012,REG,0.0,22.0,19.0,11.0,14.0,6.0,2.0,731.0,120.0,42.0,38.0,84.0,4,0.0,0.0,0.0,0.0,1043,488,535,5.0,11.0,0.0,'5-11-0,0.312,0.0,1.375,1.1875,0.6875,0.875,0.375,0.125,45.6875,7.5,2.625,2.375,5.25,0.25,0.0,0.0,0.0,0.0,0.47,0.51
ATL,2012,POST,0.0,1.0,2.0,2.0,2.0,0.0,0.0,74.0,21.0,0.0,3.0,5.0,0,0.0,0.0,0.0,0.0,117,57,60,14.0,4.0,0.0,'14-4-0,0.778,0.0,1.1666666666666667,1.0,0.7222222222222222,0.9444444444444444,0.05555555555555555,0.1111111111111111,43.111111111111114,7.388888888888889,1.3888888888888888,1.7777777777777777,4.111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.49,0.51
ATL,2012,REG,0.0,20.0,16.0,11.0,15.0,1.0,2.0,702.0,112.0,25.0,29.0,69.0,2,0.0,0.0,0.0,0.0,992,407,581,14.0,4.0,0.0,'14-4-0,0.778,0.0,1.1666666666666667,1.0,0.7222222222222222,0.9444444444444444,0.05555555555555555,0.1111111111111111,43.111111111111114,7.388888888888889,1.3888888888888888,1.7777777777777777,4.111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.41,0.59
BAL,2012,POST,0.0,6.0,6.0,4.0,5.0,1.0,0.0,190.0,55.0,18.0,9.0,25.0,1,0.0,0.0,0.0,0.0,317,127,187,14.0,6.0,0.0,'14-6-0,0.7,0.0,0.95,1.4,0.7,0.65,0.75,0.15,43.4,13.7,8.05,2.3,5.4,0.15,0.0,0.0,0.0,0.0,0.4,0.59
BAL,2012,REG,0.0,13.0,22.0,10.0,8.0,14.0,3.0,678.0,219.0,143.0,37.0,83.0,2,0.0,0.0,0.0,0.0,1088,486,593,14.0,6.0,0.0,'14-6-0,0.7,0.0,0.95,1.4,0.7,0.65,0.75,0.15,43.4,13.7,8.05,2.3,5.4,0.15,0.0,0.0,0.0,0.0,0.45,0.55
BUF,2012,REG,1.0,12.0,24.0,9.0,20.0,4.0,3.0,612.0,207.0,121.0,36.0,63.0,1,0.0,0.0,0.0,0.0,1044,461,569,6.0,10.0,0.0,'6-10-0,0.375,0.0625,0.75,1.5,0.5625,1.25,0.25,0.1875,38.25,12.9375,7.5625,2.25,3.9375,0.0625,0.0,0.0,0.0,0.0,0.44,0.55
CAR,2012,REG,1.0,11.0,22.0,15.0,19.0,3.0,0.0,658.0,188.0,23.0,39.0,63.0,3,0.0,0.0,0.0,0.0,1014,407,597,7.0,9.0,0.0,'7-9-0,0.438,0.0625,0.6875,1.375,0.9375,1.1875,0.1875,0.0,41.125,11.75,1.4375,2.4375,3.9375,0.1875,0.0,0.0,0.0,0.0,0.4,0.59
CHI,2012,REG,0.0,24.0,33.0,19.0,26.0,7.0,5.0,709.0,120.0,17.0,41.0,57.0,9,0.0,0.0,0.0,0.0,1023,378,633,10.0,6.0,0.0,'10-6-0,0.625,0.0,1.5,2.0625,1.1875,1.625,0.4375,0.3125,44.3125,7.5,1.0625,2.5625,3.5625,0.5625,0.0,0.0,0.0,0.0,0.37,0.62
CIN,2012,POST,0.0,1.0,1.0,0.0,0.0,1.0,0.0,60.0,9.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,77,37,36,10.0,7.0,0.0,'10-7-0,0.588,0.0,0.8823529411764706,1.5294117647058822,0.8823529411764706,1.0,0.5294117647058824,0.0,42.05882352941177,13.823529411764707,3.0,3.0,5.352941176470588,0.23529411764705882,0.0,0.0,0.0,0.0,0.48,0.47
CIN,2012,REG,0.0,14.0,25.0,15.0,17.0,8.0,0.0,655.0,226.0,50.0,51.0,89.0,3,0.0,0.0,0.0,0.0,1035,413,609,10.0,7.0,0.0,'10-7-0,0.588,0.0,0.8823529411764706,1.5294117647058822,0.8823529411764706,1.0,0.5294117647058824,0.0,42.05882352941177,13.823529411764707,3.0,3.0,5.352941176470588,0.23529411764705882,0.0,0.0,0.0,0.0,0.4,0.59
