team,season,season_type,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,offense_snaps,rush_snaps,pass_snaps,total_off_points,total_def_points,win,loss,tie,record,win_pct,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds,rush_pct,pass_pct,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch
ARI,2012,REG,605.0,56.0,676.0,12.0,4587,587.0,337.0,250.0,3383.0,4862.0,3383.0,1363.0,352,1204.0,52.0,168.0,58.0,58.0,172.0,10.0,14.0,10.0,11.0,1.0,21.0,22.0,13.0,16.0,6.0,2.0,1018,348,665,233.0,42.0,5.0,11.0,0.0,'5-11-0,0.312,37.8125,3.5,42.25,0.75,286.6875,36.6875,21.0625,15.625,211.4375,303.875,211.4375,85.1875,22.0,75.25,3.25,10.5,3.625,3.625,10.75,0.625,0.875,0.625,0.6875,0.0625,1.3125,1.375,0.8125,1.0,0.375,0.125,0.34,0.65,4862.0,4862.0,337.0,11.0,587.0,4.51,8.283,1.0,1.0,0.574,0.036,0.019,5.76,0.019,5.76,8.28,10.04,0.028,3.42,1276.0,32.0,0.03,7970.0,6.25
ATL,2012,POST,64.0,3.0,80.0,2.0,894,74.0,54.0,20.0,646.0,920.0,646.0,121.0,49,248.0,2.0,37.0,11.0,11.0,9.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,127,49,78,54.0,0.0,14.0,4.0,0.0,'14-4-0,0.778,26.77777777777778,5.777777777777778,41.333333333333336,1.2222222222222223,389.44444444444446,37.5,26.444444444444443,11.055555555555555,298.05555555555554,329.1111111111111,298.05555555555554,121.22222222222223,23.77777777777778,91.38888888888889,2.611111111111111,15.722222222222221,4.5,5.722222222222222,6.722222222222222,0.1111111111111111,0.3888888888888889,0.6666666666666666,2.111111111111111,0.05555555555555555,0.9444444444444444,0.5555555555555556,0.2777777777777778,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.39,0.61,920.0,920.0,54.0,6.0,74.0,7.04,12.432,1.0,1.0,0.73,0.041,0.081,8.73,0.081,8.73,12.43,11.96,0.0,5.06,177.0,12.0,0.07,1540.0,8.7
ATL,2012,REG,418.0,101.0,664.0,20.0,6116,601.0,422.0,179.0,4719.0,5004.0,4719.0,2061.0,379,1397.0,45.0,246.0,70.0,92.0,112.0,2.0,6.0,12.0,32.0,1.0,14.0,9.0,4.0,8.0,1.0,2.0,1023,366,644,408.0,6.0,14.0,4.0,0.0,'14-4-0,0.778,26.77777777777778,5.777777777777778,41.333333333333336,1.2222222222222223,389.44444444444446,37.5,26.444444444444443,11.055555555555555,298.05555555555554,329.1111111111111,298.05555555555554,121.22222222222223,23.77777777777778,91.38888888888889,2.611111111111111,15.722222222222221,4.5,5.722222222222222,6.722222222222222,0.1111111111111111,0.3888888888888889,0.6666666666666666,2.111111111111111,0.05555555555555555,0.9444444444444444,0.5555555555555556,0.2777777777777778,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.36,0.63,5004.0,5004.0,422.0,32.0,601.0,5.98,8.326,5.439,8.122,0.702,0.023,0.053,7.85,0.053,7.85,8.33,11.18,0.032,3.69,1402.0,76.0,0.05,10835.0,7.73
BAL,2012,POST,97.0,53.0,134.0,2.0,1679,126.0,73.0,53.0,1140.0,1541.0,1140.0,366.0,139,539.0,3.0,53.0,25.0,25.0,30.0,0.0,3.0,5.0,11.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,271,136,132,124.0,0.0,14.0,6.0,0.0,'14-6-0,0.7,27.45,15.5,37.1,0.55,378.8,33.75,20.35,13.4,256.8,351.95,256.8,99.5,29.15,122.0,1.65,11.75,6.15,5.25,8.35,0.3,0.55,1.2,1.65,0.1,0.55,1.0,0.55,0.75,0.25,0.1,0.5,0.49,1541.0,1541.0,73.0,11.0,126.0,6.2,12.23,1.0,1.0,0.579,0.0,0.087,9.05,0.087,9.05,12.23,15.62,0.036,3.88,338.0,27.0,0.08,2819.0,8.34
BAL,2012,REG,452.0,257.0,608.0,9.0,5897,549.0,334.0,215.0,3996.0,5498.0,3996.0,1624.0,444,1901.0,30.0,182.0,98.0,80.0,137.0,6.0,8.0,19.0,22.0,1.0,11.0,15.0,7.0,11.0,4.0,1.0,1043,430,599,383.0,18.0,14.0,6.0,0.0,'14-6-0,0.7,27.45,15.5,37.1,0.55,378.8,33.75,20.35,13.4,256.8,351.95,256.8,99.5,29.15,122.0,1.65,11.75,6.15,5.25,8.35,0.3,0.55,1.2,1.65,0.1,0.55,1.0,0.55,0.75,0.25,0.1,0.41,0.57,5498.0,5498.0,334.0,22.0,549.0,5.65,10.015,3.568,4.357,0.608,0.02,0.04,7.28,0.04,7.28,10.01,11.96,0.043,4.28,1327.0,63.0,0.05,9893.0,7.46
BUF,2012,REG,666.0,34.0,571.0,31.0,5647,494.0,309.0,185.0,3430.0,3972.0,3430.0,1805.0,442,2217.0,37.0,176.0,103.0,77.0,121.0,5.0,3.0,15.0,24.0,0.0,17.0,25.0,17.0,20.0,5.0,0.0,984,432,540,338.0,12.0,6.0,10.0,0.0,'6-10-0,0.375,41.625,2.125,35.6875,1.9375,352.9375,30.875,19.3125,11.5625,214.375,248.25,214.375,112.8125,27.625,138.5625,2.3125,11.0,6.4375,4.8125,7.5625,0.3125,0.1875,0.9375,1.5,0.0,1.0625,1.5625,1.0625,1.25,0.3125,0.0,0.44,0.55,3972.0,3972.0,309.0,24.0,494.0,5.74,8.04,1.0,1.0,0.626,0.034,0.049,6.94,0.049,6.94,8.04,11.1,0.034,5.02,1245.0,63.0,0.05,9077.0,7.29
CAR,2012,REG,711.0,35.0,559.0,36.0,5989,478.0,284.0,194.0,3927.0,4562.0,3920.0,1740.0,462,2062.0,55.0,171.0,123.0,88.0,116.0,3.0,6.0,23.0,19.0,1.0,12.0,18.0,7.0,15.0,3.0,2.0,988,452,524,346.0,18.0,7.0,9.0,0.0,'7-9-0,0.438,44.4375,2.1875,34.9375,2.25,374.3125,29.875,17.75,12.125,245.4375,285.125,245.0,108.75,28.875,128.875,3.4375,10.6875,7.6875,5.5,7.25,0.1875,0.375,1.4375,1.1875,0.0625,0.75,1.125,0.4375,0.9375,0.1875,0.125,0.46,0.53,4562.0,4562.0,284.0,19.0,478.0,6.06,9.544,1.0,1.0,0.594,0.025,0.04,8.22,0.04,8.2,9.54,13.8,0.05,4.46,1224.0,61.0,0.05,9909.0,8.1
CHI,2012,REG,364.0,27.0,558.0,30.0,5268,469.0,287.0,182.0,3298.0,4830.0,3298.0,1231.0,471,1970.0,39.0,163.0,99.0,80.0,139.0,5.0,8.0,12.0,21.0,2.0,16.0,21.0,9.0,15.0,7.0,1.0,1001,452,530,323.0,12.0,10.0,6.0,0.0,'10-6-0,0.625,22.75,1.6875,34.875,1.875,329.25,29.3125,17.9375,11.375,206.125,301.875,206.125,76.9375,29.4375,123.125,2.4375,10.1875,6.1875,5.0,8.6875,0.3125,0.5,0.75,1.3125,0.125,1.0,1.3125,0.5625,0.9375,0.4375,0.0625,0.45,0.53,4830.0,4830.0,287.0,21.0,469.0,5.26,10.299,1.0,1.0,0.612,0.034,0.045,7.03,0.045,7.03,10.3,11.49,0.025,4.18,1227.0,54.0,0.04,8566.0,6.98
CIN,2012,POST,35.0,0.0,35.0,3.0,207,29.0,14.0,15.0,127.0,330.0,127.0,40.0,16,80.0,2.0,5.0,5.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48,15,32,7.0,0.0,10.0,7.0,0.0,'10-7-0,0.588,31.058823529411764,1.5294117647058822,37.470588235294116,1.3529411764705883,338.7647058823529,32.529411764705884,20.529411764705884,12.0,231.41176470588235,294.7647058823529,231.41176470588235,102.05882352941177,26.235294117647058,107.3529411764706,1.5294117647058822,10.470588235294118,5.882352941176471,4.352941176470588,8.941176470588236,0.7058823529411765,0.35294117647058826,0.6470588235294118,1.6470588235294117,0.0,1.0,1.1764705882352942,0.6470588235294118,0.7647058823529411,0.4117647058823529,0.11764705882352941,0.31,0.67,330.0,330.0,14.0,0.0,29.0,4.31,11.379,1.0,1.0,0.483,0.034,0.0,4.38,0.0,4.38,11.38,9.07,0.0,5.0,59.0,0.0,0.0,334.0,5.66
CIN,2012,REG,493.0,26.0,602.0,20.0,5552,524.0,335.0,189.0,3807.0,4681.0,3807.0,1695.0,430,1745.0,24.0,173.0,95.0,74.0,143.0,11.0,5.0,11.0,28.0,0.0,16.0,20.0,11.0,13.0,7.0,2.0,1016,412,583,371.0,24.0,10.0,7.0,0.0,'10-7-0,0.588,31.058823529411764,1.5294117647058822,37.470588235294116,1.3529411764705883,338.7647058823529,32.529411764705884,20.529411764705884,12.0,231.41176470588235,294.7647058823529,231.41176470588235,102.05882352941177,26.235294117647058,107.3529411764706,1.5294117647058822,10.470588235294118,5.882352941176471,4.352941176470588,8.941176470588236,0.7058823529411765,0.35294117647058826,0.6470588235294118,1.6470588235294117,0.0,1.0,1.1764705882352942,0.6470588235294118,0.7647058823529411,0.4117647058823529,0.11764705882352941,0.41,0.57,4681.0,4681.0,335.0,28.0,524.0,5.46,8.933,14.185,18.069,0.639,0.031,0.053,7.27,0.053,7.27,8.93,11.36,0.026,4.06,1289.0,67.0,0.05,9359.0,7.26
