game_id,season,week,team,season_type,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,offense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie,record,win_pct,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds
2012_01_SEA_ARI,2012,1,ARI,REG,31,0,38,1,258,35,20,15,215,266,215,74,20,43,2,13,2,3,7,0,0,1,1,0,1,2,1,2,0,0,20,0,2,2,5,7,37,5,1,0,19,57,14,0.33,0.65,1,0,0,0,0,0,1,0,0,'1-0-0,1,266,266,20,1,35,4.53,7.6,1,1,0.571,0.029,0.029,6.14,0.029,6.14,7.6,10.75,0.05,2.15,75,3,0.04,473,6.31,31,0,38,1,258,35,20,15,215,266,215,74,20,43,2,13,2,3,7,0,0,1,1,0,1,2,1,2,0,0
2012_02_ARI_NE,2012,2,ARI,REG,25,7,30,1,242,27,15,12,140,158,140,72,32,102,5,7,8,4,10,0,0,1,1,0,0,2,2,2,0,0,20,0,2,2,6,4,29,6,1,0,31,61,16,0.51,0.48,0,0,0,1,0,0,2,0,0,'2-0-0,1,158,158,15,1,27,3.97,5.852,0.594,0.771,0.556,0,0.037,5.19,0.037,5.19,5.85,9.33,0.031,3.19,74,3,0.04,382,5.16,28,3.5,34,1,250,31,17.5,13.5,177.5,212,177.5,73,26,72.5,3.5,10,5,3.5,8.5,0,0,1,1,0,0.5,2,1.5,2,0,0
2012_03_PHI_ARI,2012,3,ARI,REG,31,0,29,2,321,24,17,7,222,159,222,115,34,99,10,12,3,6,9,0,1,0,2,0,0,1,1,1,0,0,21,0,3,2,3,3,27,6,2,0,32,61,14,0.52,0.44,1,0,0,0,0,0,3,0,0,'3-0-0,1,159,159,17,2,24,5.26,6.625,0.598,0.686,0.708,0,0.083,9.25,0.083,9.25,6.62,13.06,0,2.91,75,4,0.05,543,7.24,29,2.333333333,32.33333333,1.333333333,273.6666667,28.66666667,17.33333333,11.33333333,192.3333333,194.3333333,192.3333333,87,28.66666667,81.33333333,5.666666667,10.66666667,4.333333333,4.333333333,8.666666667,0,0.333333333,0.666666667,1.333333333,0,0.333333333,1.666666667,1.333333333,1.666666667,0,0
2012_04_MIA_ARI,2012,4,ARI,REG,52,5,56,0,352,46,29,17,324,417,324,81,15,28,2,18,0,4,12,2,0,0,3,0,2,1,0,1,0,0,24,0,3,1,6,3,56,9,0,0,15,71,19,0.21,0.79,1,0,0,0,0,0,4,0,0,'4-0-0,1,417,417,29,3,46,4.96,9.065,1.568,1.314,0.63,0.043,0.065,7.04,0.065,7.04,9.07,11.17,0,1.87,90,6,0.07,676,7.51,34.75,3,38.25,1,293.25,33,20.25,12.75,225.25,250,225.25,85.5,25.25,68,4.75,12.5,3.25,4.25,9.5,0.5,0.25,0.5,1.75,0,0.75,1.5,1,1.5,0,0
2012_05_ARI_STL,2012,5,ARI,REG,56,7,59,1,334,50,28,22,289,414,289,144,17,45,3,13,4,7,12,0,2,0,0,0,0,1,1,1,0,0,3,0,0,2,4,6,59,7,0,0,17,76,13,0.22,0.78,0,0,0,0,1,0,4,1,0,'4-1-0,0.8,414,414,28,0,50,4.39,8.28,1.556,1.429,0.56,0,0,5.78,0,5.78,8.28,10.32,0,2.65,95,0,0,623,6.56,39,3.8,42.4,1,301.4,36.4,21.8,14.6,238,282.8,238,97.2,23.6,63.4,4.4,12.6,3.4,4.8,10,0.4,0.6,0.4,1.4,0,0.6,1.4,1,1.4,0,0
2012_06_BUF_ARI,2012,6,ARI,REG,35,4,44,4,355,34,16,18,173,277,173,61,30,182,3,9,10,5,11,2,0,0,1,1,2,0,0,0,0,0,16,0,1,4,3,5,40,5,0,1,30,71,13,0.42,0.56,0,1,0,0,0,0,4,2,0,'4-2-0,0.667,277,277,16,1,34,5,8.147,1.041,0.971,0.471,0.059,0.029,5.09,0.029,5.09,8.15,10.81,0,6.07,80,2,0.02,528,6.6,38.33333333,3.833333333,42.66666667,1.5,310.3333333,36,20.83333333,15.16666667,227.1666667,281.8333333,227.1666667,91.16666667,24.66666667,83.16666667,4.166666667,12,4.5,4.833333333,10.16666667,0.666666667,0.5,0.333333333,1.333333333,0.166666667,0.833333333,1.166666667,0.833333333,1.166666667,0,0
2012_07_ARI_MIN,2012,7,ARI,REG,38,0,43,0,388,35,25,10,262,228,262,148,26,126,1,15,5,5,9,0,2,1,1,0,1,2,1,2,0,0,15,6,2,1,4,5,43,6,0,0,26,69,13,0.38,0.62,0,0,0,0,1,0,4,3,0,'4-3-0,0.571,228,228,25,1,35,5.62,6.514,0.857,1,0.714,0.029,0.029,7.49,0.029,7.49,6.51,10.48,0.038,4.85,86,3,0.03,650,7.56,38.28571429,3.285714286,42.71428571,1.285714286,321.4285714,35.85714286,21.42857143,14.42857143,232.1428571,274.1428571,232.1428571,99.28571429,24.85714286,89.28571429,3.714285714,12.42857143,4.571428571,4.857142857,10,0.571428571,0.714285714,0.428571429,1.285714286,0.142857143,0.857142857,1.285714286,0.857142857,1.285714286,0,0
2012_08_SF_ARI,2012,8,ARI,REG,56,13,57,1,297,51,32,19,290,385,290,160,9,7,3,15,0,2,12,2,2,0,0,0,1,0,0,0,0,0,3,0,0,1,5,7,56,7,0,0,9,65,13,0.14,0.86,0,1,0,0,0,0,4,4,0,'4-4-0,0.5,385,385,32,0,51,4.57,7.549,1.447,1.457,0.627,0.02,0,5.69,0,5.69,7.55,9.06,0,0.78,92,0,0,587,6.38,40.5,4.5,44.5,1.25,318.375,37.75,22.75,15,239.375,288,239.375,106.875,22.875,79,3.625,12.75,4,4.5,10.25,0.75,0.875,0.375,1.125,0.125,0.875,1.125,0.75,1.125,0,0
2012_09_ARI_GB,2012,9,ARI,REG,40,5,48,0,360,45,23,22,306,444,306,103,18,54,2,13,3,4,11,1,1,1,1,0,1,1,0,1,0,1,17,0,2,1,6,2,48,8,0,0,18,66,17,0.27,0.73,0,0,0,0,1,0,4,5,0,'4-5-0,0.444,444,444,23,1,45,5.45,9.867,1.669,1.286,0.511,0.022,0.022,6.8,0.022,6.8,9.87,13.3,0.056,3,86,3,0.03,666,7.74,40.44444444,4.555555556,44.88888889,1.111111111,323,38.55555556,22.77777778,15.77777778,246.7777778,305.3333333,246.7777778,106.4444444,22.33333333,76.22222222,3.444444444,12.77777778,3.888888889,4.444444444,10.33333333,0.777777778,0.888888889,0.444444444,1.111111111,0.111111111,0.888888889,1.111111111,0.666666667,1.111111111,0,0.111111111
2012_11_ARI_ATL,2012,11,ARI,REG,32,0,30,0,207,27,11,16,70,248,70,38,26,137,6,3,4,2,14,0,1,1,0,0,0,1,1,1,0,0,20,6,1,4,5,2,30,8,0,0,26,56,18,0.46,0.54,0,0,0,0,1,0,4,6,0,'4-6-0,0.4,248,248,11,0,27,3.7,9.185,0.932,0.771,0.407,0,0,2.59,0,2.59,9.19,6.36,0.038,5.27,64,1,0.02,277,4.33,39.6,4.1,43.4,1,311.4,37.4,21.6,15.8,229.1,299.6,229.1,99.6,22.7,82.3,3.7,11.8,3.9,4.2,10.7,0.7,0.9,0.5,1,0.1,0.8,1.1,0.7,1.1,0,0.1
